"StateId","RHI5","RHI10","RHI20","RGI5","RGI10","RGI20","TreesMeasuredCount","LastMeasurementDate","ContainsEntityWithCoordinates"
"263",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"264",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"265",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"266",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"267",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"268",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"269",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"27","1.2154000091552734e+002","1.1029000091552734e+002","9.9220000076293942e+001","1.4226666641235351e+001","1.2214999961853028e+001","1.0007499957084656e+001","72","2013-11-11","1"
"271",NULL,NULL,NULL,NULL,NULL,NULL,"2","2018-10-02","1"
"272",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"273",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"274",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"275",NULL,NULL,NULL,NULL,NULL,NULL,"6","2018-10-05","1"
"276",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"277",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"279",NULL,NULL,NULL,NULL,NULL,NULL,"5","2014-11-07","1"
"28","5.3239999389648439e+001",NULL,NULL,"7.5499999999999998e+000",NULL,NULL,"23","2012-08-21","1"
