"Id","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"53485026","Yucca brevifolia var. brevifolia","Joshua Tree","4.0200000762939453e+001","2","239524","7.4000000953674316e+000","2","239524","0.0000000000000000e+000","0",NULL,"2"
"535606802","Tsuga caroliniana","Carolina Hemlock","1.0950000000000000e+002","2","227272","1.0750000000000000e+001","2","227273","5.0000000000000000e+001","2","227273","18"
"535640081","Quercus palustris","Pin Oak","1.3769999694824219e+002","2","322699","1.9949998855590820e+001","2","273887","1.0500000000000000e+002","2","229802","128"
"535782520","Tsuga mertensiana","Mountain Hemlock","1.3610000610351562e+002","2","318038","1.1600000381469727e+001","2","318038","0.0000000000000000e+000","0",NULL,"3"
"53770454","Aesculus turbinata","Japanese Horsechestnut","7.3599998474121094e+001","2","226082","1.0960000038146973e+001","2","226082","0.0000000000000000e+000","0",NULL,"1"
"538131651","Liriodendron tulipifera","Tuliptree","1.9119999694824219e+002","2","252473","2.7000000000000000e+001","2","252309","1.4350000000000000e+002","2","252353","2558"
"542799216","Celtis laevigata var. reticulata","Netleaf Hackberry","3.8900001525878906e+001","2","23987","5.5833334922790527e+000","2","78331","0.0000000000000000e+000","0",NULL,"19"
"542979698","Stewartia ovata","Mountain Camellia","2.5299999237060547e+001","2","249683","8.3333331346511841e-001","2","249622","0.0000000000000000e+000","0",NULL,"3"
"54560723","Morus alba","White Mulberry","7.3300003051757812e+001","2","315036","1.3724999427795410e+001","2","313137","7.0500000000000000e+001","2","313137","12"
"545640580","Acer saccharum var. saccharum","Sugar Maple","1.4219999694824219e+002","2","320145","1.7250000000000000e+001","2","312120","9.7000000000000000e+001","2","220997","266"
"549662625","Abies chinsiensis","Shensi Fir","7.0000000000000000e+001","2","225108","8.3000001907348633e+000","2","225108","0.0000000000000000e+000","0",NULL,"1"
"551715941","Cornus disciflora","Mata Hombro","7.3500000000000000e+001","2","234125","8.5083332061767578e+000","2","234125","0.0000000000000000e+000","0",NULL,"1"
"552070164","Tilia japonica","Japanese Linden","6.1000000000000000e+001","2","281872","3.7300000190734863e+000","2","281872","0.0000000000000000e+000","0",NULL,"1"
